sku,description
EF040158,"Our 4' X 6' outdoor Buddhist flags are made of high grade nylon. They feature a strong canvas header, reinforced stitching, non-fading colors and two brass grommets. These Buddhist flags are on sale now and ready to ship.
"
AF093300,"This fully-sewn nylon Papal flag is engineered for beauty and durability. Vivid colors, a strong canvas header, heavy duty brass grommets and a reinforced stitching around the border make this the perfect flag for any home, church or organization."
NylonCustom46,"This 4'x6' printed, heavy 200 denier nylon rectangular flag can be customized with your logo or artwork. This flag is produced digitally, making it ideal for short runs and individual items. Our nylon custom flags are finished with canvas heading, brass grommets and fly hems are reinforced with four rows of lock-stitched construction.Our nylon flags and all their components are 100% made in the U.S.A."
AFSaftball,"Looking for a little more safety when distributing handheld flags? Then try our Saf-T-Ball flags, which come with a ball topper rather than a traditional speartop. These handheld American flags come in two popular sizes and are 70% polyester and 30% cotton for maximum durability. We have more than 1 million of these stick flags in stock and can ship yours today!

These top quality American-made stick flags are made of a poly/cotton blend for maximum durability and are on a hard plastic staff with a ball topper for added safety. The 4"" X 6"" flags are on a white staff with a red ball, while the larger 8"" X 12"" flags are mounted on a black staff with a gold ball. 

Recommended for all handheld applications, including parades and festivals. These mounted US flags are available in two sizes: 4"" X 6"" (10"" staff) and 8"" X 12"" (16"" staff)."
Signature46,"The perfect flag for the discerning patriot, our 4' X 6' Signature US flag is proudly made in America by America's oldest flagmakers. 

<li>Military grade nylon that meets all US Government specifications.</li>
<li>Large embroidered stars with polished white thread.</li>
<li>Hand-sewn red and white stripes.</li>
<li>Heavy gauge rust-proof brass grommets for easy hanging.</li>
<li>Our longest lasting nylon flag specially treated to resist wind, rain and sun.</li><p>
<h2>The Signature Series flag makes a great gift for that new homeowner, graduate, veteran or patriot in your life.</h2>
<b>Customer Reviews</b><br>
""My son came home after his third deployment last month and we gave him a Signature Flag as a welcome home gift. He had tears in his eyes as he opened it and so did we. Nice to see that some things are still made and packed with pride.""<br>
<i>Roger Artz, Atlanta, GA</i>

""Gave my Dad this flag for Father's Day on Sunday and he was absolutely thrilled. Thanks for getting it here so quickly and helping me make his day.""<br> 
<i>Susan Reilly, Scarsdale, NY</i><p>
""Wow. I have never seen a flag that is so vivid, so bright and so well-made.""<br>
<i>Jeffrey Mazza, Orlando, FL</i><p>
""We used these flags for this year's Boy Scout fundraiser and everyone we showed it to had to have one. We tripled our sales over last year when we used another flag company. This flag literally sold itself.""<br>
<i>Ronald Daughtry, Myrtle Beach, SC</i>"
EF46NYL,"<b>Questions about colors? <a href=""http://lib.store.yahoo.net/lib/yhst-45748600749679/colorchart.jpg ""target=""_blank"">Click here to see our color chart</b></a><p>
These 3' X 5' nylon solid color flags come in dozens of colors and are engineered to look great and outlast all other flags. Each features a heavy duty canvas header, reinforced stitching and solid brass grommets.

<i>Please note that flag colors may vary slightly based on your computer monitor settings and other factors beyond our control.</i>"
46CATT,"This 4' X 6' California State Flag with sewn features is our top-of-the line, exceptionally durable all-weather flag. Made from heavyweight spun polyester, it is ideal for commercial or institutional use, high wind areas or daily use. It comes with a one year ColorFast Guarantee and matches our Tough Tex US Flags."
46Texas2Ply,"This 4' X 6' Texas State Flag with sewn stripes and star is our top-of-the line, exceptionally durable all-weather flag. Made from heavyweight spun polyester, it is ideal for commercial or institutional use, high wind areas or daily use. It comes with a one year ColorFast Guarantee and matches our Tough Tex US Flags."
AF002720,"Constructed of durable 2-ply spun polyester, our Tough-Tex American flags are designed to be the longest lasting flag ever made. With the rich look of cotton, these American flags are engineered especially for industrial, commercial or institutional use or wherever severe weather conditions exist. Complete with reinforced stitching, embroidered stars, and extra-strength polyester thread, each flag is specially treated to reduce sun and chemical deterioration.
<ul>
<li>Exceptional durability.</li>
<li>Excellent for high wind areas and extreme weather conditions.</li>
<li>Suitable for commercial and industrial uses.</li>
</ul>
<b>Tough-Tex<li> Flag Material Outperforms All Other Flags Bar None. This Is The Very Best Flag Made In America!</b>
<ul>
<li>100% 2-ply spun-woven polyester fabric resists high winds.</li>
<li>Open weave reduces fabric stress for longer wear.</li>
<li>One Year Colorfast Guarantee.</li>
<li>Backed by the oldest and largest American flag manufacturer in the US.</li>
<li>Solid brass grommets, embroidered stars and double stitched seams.</li>
<li>Every flag double-inspected and meets official U.S government specifications.</li></ul><br>
<b>This 4' X 6' flag is available for immediate shipping to your door. Other websites and big box stores sell this exact same flag for $59.99. Buy it direct for less from AmericanFlags.com!</b>"
A091Un46,"These 4' X 6' indoor Christian flags are carefully sewn on top-grade Colonial Nyl-glo nylon. These rich, silky Christian flags feature bright, non-fading colors, re-inforced headers for durability and are maintenance-free. Our indoor Christian flags are the best you can buy and are proudly made in the United States."
AF096600U,"These 4' X 6' indoor Israel flags are carefully sewn on top-grade Colonial Nyl-glo nylon. Our Israel flags feature bright, non-fading colors, re-inforced headers for durability and are maintenance-free. These flags are our top-of-the-line quality and are proudly made in the United States."
AF4861,"These handsome pulldowns are made of heavy Nyl-Glo Nylon and have been specially treated to resist sun, wind and rain damage. They come ready for easy hanging anywhere. We offer these 50-star pulldowns in a variety of sizes and all are on sale now!"
AFP20,These 50-star windsocks are a beautiful and long-lasting alternative to the inexpensive printed windsocks available elsewhere. These 200-denier SolarMax commercial-grade nylon windsocks are made with the same embroidered star fields and sewn stripes as our US flags.
AF2730,"AmericanFlags.com is proud to offer these 5' X 8' All-American US flags, which are carefully treated to resist fading, tearing and the shredding you see in foreign-made American flags.
Our own testing reveals that these flags outlast other nylon flags by as much as 33%!
<ul>
<li>Premium 200-denier nylon sourced in the USA, not from China.</li>
<li>Inks stay bright, bold and keep your flag looking sharp.</li>
<li>Nylon fabric is specially treated to resist UV radiation.</li>
<li>Four rows of lock stitching on flag ends to resist wind shredding.</li>
<li>Double rowed stitching on top and bottom flag hems.</li>
<li>Heavy duty rust-proof brass grommets.</li>
<li>Industrial strength canvas header is virtually indestructible.</li>
<li>Embroidered stars, sewn stripes with color matched stitching.</li>
<li>Lightweight - flies proudly in the lightest breeze and dries quickly.</li>
<li>These flags and all their components are Made in America!</li>
</ul>
AmericanFlags.com sells more US flags than virtually any other online retailer. As such, we buy in bulk and can ship them to you faster and at lower cost.

We guarantee that every flag will stay colorfast for one full year from the date of purchase or we will replace it at NO CHARGE.

Buy genuine American-Made flags from AmericanFlags.com, your trusted name in flags."
EF040103,This fully-sewn nylon Christian flag is engineered for beauty and durability. A strong canvas header and heavy duty brass grommets make hanging easy.
AF1200,"These flags are made of the world-famous Bulldog cotton bunting. You will enjoy the rich, vibrant colors, excellent durability and economy. Bulldog brand US flags offer true value in a traditional cotton flag, featuring densely embroidered stars, sewn stripes and hems, and strong polyester headings. Bulldog US flags are made from extra strength cotton weave designed to resist the elements.

* Extra strength weave reduces fabric stress for longer wear.

* Backed by the oldest and largest flag manufacturer in the United States.
 
* Every flag double-inspected to ensure strict compliance with U.S government specifications.

* In stock and ready to ship to your door.

* A better flag for less from AmericanFlags.com - the most trusted name in flags."
AF095200,"This fully-sewn nylon 5' X 8' all-weather outdoor Episcopal flag is engineered for beauty and durability. A strong canvas header and reinforced stitching make this flag among the best you can buy. This handsome Episcopal features flag heavy duty brass grommets to make hanging on any pole a snap. This flag is proudly made with faith, love and caring in the United States."
AF021800,"Colonial Nyl-Glo flags are perfect for use indoors or in parades. These silky flags boast bright colors, impeccable craftsmenship and are engineered for durability.

<b>Here are just a few of this fine flag's features:</b>

* Densely embroidered stars.

* Lock-stitched hand-sewn stripes.

* Flannel-lined pole heading.

* Velcro tabs for easy dignified display.

* Golden yellow Rayon fringe.

* Made in the USA to all official government specifications.

* On sale and ready to ship today!"
AF600,"This well-made Air Force flag measures 5' X 8' and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Air Force flags are Made in America and ready for immediate shipping to your door!"
A600,"This well-made Army flag measures 5' X 8' and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Army flags are Made in America and ready for immediate shipping to your door!"
AF1681,"This well-made Coast Guard flag measures 6' X 10' and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Coast Guard flags are Made in America and ready for immediate shipping to your door!"
AF021400,"These Colonial Nyl-Glo flags made by Annin are perfect for indoor use or in parades. These silky indoor American flags boast bright colors, impeccable craftsmenship and are engineered for durability.

<b>Here are just a few of this fine flag's features:</b>

* Densely embroidered stars.

* Lock-stitched hand-sewn stripes.

* Flannel-lined pole heading designed to reduce bunching.

* Velcro tabs for easy dignified display.

* Made in the USA to all official government specifications.

* On sale, in-stock and ready to ship today!"
VF58211000,"<b>Perma-Nyl Colorfast American Flag Made by Valley Forge</b><br>
Flags exposed to harsh sunlight, wet weather and wide temperature changes require a strong construction material!</b>
<ul>
<li>These flags are Made in America with sturdy 200 denier nylon fabric.</li>
<li>Best resistance to damaging ultraviolet (UV) radiation.</li>
<li>Longest lasting, fade-resistant and tear-resistant material available.</li>
<li>Flies in the lightest breeze.</il>
<li>Provides the brightest colors for a great look.</li>
<li>1-Year manufacturer's ColorFast guarantee.</li></ul>
<b>What is a Perma-Nyl American flag?</b>
<ul><li>Perma-Nyl American flags are made by Valley Forge Flag Company, Inc., one of the world's oldest and largest flag manufacturers.</il>
<li>Each Perma-Nyl US flag is made of 100% nylon using the finest fabrics, designed specifically or outdoor use.</li>
<li>These flags exhibit tremendous strength retention under UV exposure as well as world-class tensile and tear strength.</li>
<li>Nylon provides 25% more toughness than polyester with greater abrasion and tear resistance.</li></ul>
<b>Our Perma-Nyl American flags also feature:</b>
<ul><li>Strong durable RUSTPROOF brass grommets.</li>
<li>Dense, lock-stitched embroidered stars.</li>
<li>Heavy-gauge canvas headers.</li>
<li>Double-stitched seams and 4 rows of stitching at fly end.</li></ul>
<b>This great American flag is available for immediate shipping to your door. Other websites and big box stores charge $89.99 for this flag. Buy it direct for less from AmericanFlags.com!</b>"
A603,"This well-made Marine Corps flag measures 5' X 8' and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Marine Corps flags are Made in America and ready for immediate shipping to your door!"
A601,"This well-made Navy flag measures 5' X 8' and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Navy flags are Made in America and ready for immediate shipping to your door!"
AF093400,"This fully-sewn nylon Papal flag is engineered for beauty and durability. Vivid colors, a strong canvas header, heavy duty brass grommets and a reinforced stitching around the border make this the perfect flag for any home, church or organization."
NylonCustom58,"This 5'x8' printed, heavy 200 denier nylon rectangular flag can be customized with your logo or artwork. This flag is produced digitally, making it ideal for short runs and individual items. Our nylon custom flags are finished with canvas heading, brass grommets and fly hems are reinforced with four rows of lock-stitched construction.Our nylon flags and all their components are 100% made in the U.S.A."
EF58NYL,"<b>Questions about colors?<a href=""http://lib.store.yahoo.net/lib/yhst-45748600749679/colorchart.jpg ""target=""_blank"">Click here to see our color chart</b></a><p>
These 5' X 8' nylon solid color flags come in dozens of colors and are engineered to look great and outlast all other flags. Each features a heavy duty canvas header, reinforced stitching and solid brass grommets.

<i>Please note that flag colors may vary slightly based on your computer monitor settings and other factors beyond our control.</i>"
58CATT,"This 5' X 8' California State Flag with sewn features is our top-of-the line, exceptionally durable all-weather flag. Made from heavyweight spun polyester, it is ideal for commercial or institutional use, high wind areas or daily use. It comes with a one year ColorFast Guarantee and matches our Tough Tex US Flags."
58Texas2Ply,"This 5' X 8' Texas State Flag with sewn stripes and star is our top-of-the line, exceptionally durable all-weather flag. Made from heavyweight spun polyester, it is ideal for commercial or institutional use, high wind areas or daily use. It comes with a one year ColorFast Guarantee and matches our Tough Tex US Flags."
AF002730,"Made with 100% long-lasting 2-ply spun polyester, our Tough-Tex flags are designed to be the longest lasting flag ever made. With the rich look of cotton, these flags are engineered especially for industrial, commercial or institutional use or wherever severe weather conditions exist. Complete with reinforced stitching, embroidered stars, and extra-strength polyester thread, each flag is specially treated to reduce sun and chemical deterioration.
<ul>
<li>The longest lasting flag available anywhere.</li>
<li>Greatest durability.</li>
<li>Excellent for high wind areas and extreme weather conditions.</li>
<li>Suitable for commercial and industrial uses.</li>
</ul>
<b>Tough-Tex<li> Flag Material Outperforms All Other Flags Bar None. This Is The Very Best Flag Made In America!</b>
<ul>
<li>100% 2-ply spun-woven polyester fabric resists high winds.</li>
<li>Open weave reduces fabric stress for longer wear.</li>
<li>One Year Colorfast Guarantee.</li>
<li>Backed by the oldest and largest flag manufacturer in the US.</li>
<li>Solid brass grommets, embroidered stars and double stitched seams.</li>
<li>Every flag double-inspected and meets official U.S government specifications.</li></ul><br>
<b>This great flag is available for immediate shipping to your door. Other websites and big box stores sell this exact same flag for $109.99. Buy it direct for less from AmericanFlags.com!</b>"
NylGlo5X95,"Annin is America's oldest flagmaker and AmericanFlags.com is proud to offer these 5' X 9 1/2' Nyl-Glo American Casket flags, which are carefully treated to resist fading and tearing you see in foreign-made American flags. Our own testing reveals that these flags outlast other nylon flags by as much as 33%!
<ul>
<li>Premium 200-denier nylon sourced in the USA, not from China.</li>
<li>Inks stay bright, bold and keep your flag looking sharp.</li>
<li>Nyl-Glo fabric is specially treated to resist UV radiation.</li>
<li>Four rows of lock stitching on flag ends to resist wind shredding.</li>
<li>Double rowed stitching on top and bottom flag hems.</li>
<li>Heavy duty rust-proof brass grommets.</li>
<li>Industrial strength canvas header is virtually indestructible.</li>
<li>Embroidered stars, sewn stripes with color matched stitching.</li>
<li>These flags and all their components are Made in America!</li>
</ul>
AmericanFlags.com sells more Annin flags that virtually any other online retailer. As such, we buy in bulk and can ship them to you faster and at lower cost.

Buy genuine Annin flags from AmericanFlags.com, your trusted name in flags."
AF001420,"This finely-crafted cotton American flag features densely embroidered stars, sewn stripes and hems, and strong polyester headings. Meets all Federal specifications and is the preferred flag for presentations, military ceremonies, funerals and for use in commemorative flag cases. Flag does not come folded as shown, but we will gladly provide you with instructions should you wish to fold the flag yourself."
AF1420,"These 5' X 9 1/2' flags are made of the world-famous Bulldog cotton bunting. You will enjoy the rich, vibrant colors, excellent durability and economy. Bulldog brand US flags offer true value in a traditional cotton flag, featuring densely embroidered stars, sewn stripes and hems, and strong polyester headings. Bulldog US flags are made from extra strength cotton weave designed to resist the elements.

* Extra strength weave reduces fabric stress for longer wear.

* Backed by the oldest and largest flag manufacturer in the United States.
 
* Every flag double-inspected to ensure strict compliance with U.S government specifications.

* In stock and ready to ship to your door.

* A better flag for less from AmericanFlags.com - the most trusted name in flags."
VFGSP9015,"This printed nylon G-Spec U.S. Coast Guard Ensign measures 60"" X 96"" and is a Size 3. This handsome flag comes with a sturdy duck heading and a ring, snap and roped heading for easy display. Our USCG Ensigns are 100% made in the U.S.A. by Valley Forge."
VFGSP5053,"This handsome printed nylon G-Spec Navy ""Don't Tread on Me"" flag measures 6' 9 3/4"" X 5' 8 3/4"" and is a size 5. This flag comes with a sturdy duck heading and features a durable brass ring and snap for easy display. Flag is 100% made in the U.S.A. by Valley Forge. "
551600-61W,"This highly polished oak 2-piece indoor flagpole features a beautiful finish, sturdy metal screw joint and slightly tapered top. It's 1"" in diameter and perfect for any indoor flag display. Ornament (pole topper) sold seperately."
SC117C,"Challenge Coins and Service Medallions have exploded in popularity in today<li>s military. The thousands of unique designs represent camaraderie, service achievements and bragging rights. They are treasured and collected, and now they can be proudly displayed in our handsome 6-Row Coin Rack available in a handsome cherry finish. Includes black-on-brass engraving plate. (Engraving additional). Rack measures 17<li> long x 5 1/2<li> deep and holds approximately 50 coins or medallions.

You may get your nameplate engraved locally, or we can do the engraving for you (please allow 5-7 days). If you'd like engraving, you may order up to 4 lines of text with up to 34 characters per line.

<b>If ordering engraving, please include your inscription in the comments area of our web form at checkout or call us at 1-877-763-3423 and we'll handle your order personally.<b>"
AF162164,"<P align=""justify""><b>No more tangled flags!</b> A full six feet long, this two-piece pole is constructed of brushed aluminum and is crowned with a gleaming gold ball. The top 40"" of the pole rotates on ball bearings so your flag will always hang free and look great. For the easiest and most versatile installation ever, this pole comes complete with two flag fasteners for flying almost any size flag and also a snap and swivel ring for banner display. Fits into 1"" bracket (sold seperately). Comes shipped in two pieces and ready for quick assembly."
EF324207,"Our 2-piece 6' silver brushed aluminum rotating pole is now available with a silver ornament. The top of this flagpole rotates on ball bearings so your flag will never tangle and is for use with brackets that accept a standard 1"" diameter pole."
VFATP-1,"This 1-piece telescoping aluminum flag pole measures 6'x1"" when fully extended. This pole has an eagle top and a flag mounting ring is included for flag display. As a bonus, we've also added a free 1"" cast aluminum bracket for easy flagpole mounting to your home, deck or any other flat surface."
AF2300,"AmericanFlags.com is proud to offer these 6' X 10' All-American US flags, which are carefully treated to resist fading, tearing and the shredding you see in foreign-made American flags.
Our own testing reveals that these flags outlast other nylon flags by as much as 33%!
<ul>
<li>Premium 200-denier nylon sourced in the USA, not from China.</li>
<li>Inks stay bright, bold and keep your flag looking sharp.</li>
<li>Nylon fabric is specially treated to resist UV radiation.</li>
<li>Four rows of lock stitching on flag ends to resist wind shredding.</li>
<li>Double rowed stitching on top and bottom flag hems.</li>
<li>Heavy duty rust-proof brass grommets.</li>
<li>Industrial strength canvas header is virtually indestructible.</li>
<li>Embroidered stars, sewn stripes with color matched stitching.</li>
<li>Lightweight - flies proudly in the lightest breeze and dries quickly.</li>
<li>These flags and all their components are Made in America!</li>
</ul>
AmericanFlags.com sells more US flags than virtually any other online retailer. As such, we buy in bulk and can ship them to you faster and at lower cost.

We guarantee that every flag will stay colorfast for one full year from the date of purchase or we will replace it at NO CHARGE.

Buy genuine American-Made flags from AmericanFlags.com, your trusted name in flags."
AF1440,"These flags are made of the world-famous Bulldog cotton bunting. You will enjoy the rich, vibrant colors, excellent durability and economy. Bulldog brand US flags offer true value in a traditional cotton flag, featuring densely embroidered stars, sewn stripes and hems, and strong polyester headings. Bulldog US flags are made from extra strength cotton weave designed to resist the elements.

* Extra strength weave reduces fabric stress for longer wear.

* Backed by the oldest and largest flag manufacturer in the United States.
 
* Every flag double-inspected to ensure strict compliance with U.S government specifications.

* In stock and ready to ship to your door.

* A better flag for less from AmericanFlags.com - the most trusted name in flags."
Ireland-Flag-6X10,"<p align=""justify""> Our 6' X 10' Ireland flags conform to all official UN specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, these 6' X 10' Ireland flags are made of 100% heavyweight nylon that is specially treated to minimize sun and chemical deterioration. Our Ireland flags are extremely durable, fast-drying, and boast brilliant, fast colors. These nylon Ireland flags are also finished with strong canvas headings and large grommets.<br>

AmericanFlags.com offers the lowest prices on the best quality 6' X 10' Ireland Flags available anywhere."
EF070375,"This well-made Air Force flag measures 6' X 10' and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Air Force flags are Made in America and ready for immediate shipping to your door!"
EFArmy610,"This well-made Army flag measures 6' X 10' and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Army flags are Made in America and ready for immediate shipping to your door!"
EF040105,This fully-sewn nylon 6' X 10' Christian flag is engineered for beauty and durability. A strong canvas header and heavy duty brass grommets make hanging easy.
EFcoastguard610,"This well-made Coast Guard flag measures 6' X 10' and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Coast Guard flags are Made in America and ready for immediate shipping to your door!"
France610,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Italy6x10,"Our Italy flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our Italian flags are extremely durable, fast-drying, and boast brilliant, fast colors. These 6' X 10' Italy flags are also finished with strong canvas headings and brass grommets."
VF60211000,"<b>Perma-Nyl Colorfast American Flag Made by Valley Forge</b><br>
Flags exposed to harsh sunlight, wet weather and wide temperature changes require a strong construction material!</b>
<ul>
<li>These flags are Made in America with sturdy 200 denier nylon fabric.</li>
<li>Best resistance to damaging ultraviolet (UV) radiation.</li>
<li>Longest lasting, fade-resistant and tear-resistant material available.</li>
<li>Flies in the lightest breeze.</il>
<li>Provides the brightest colors for a great look.</li>
<li>1-Year manufacturer's ColorFast guarantee.</li></ul>
<b>What is a Perma-Nyl American flag?</b>
<ul><li>Perma-Nyl American flags are made by Valley Forge Flag Company, Inc., one of the world's oldest and largest flag manufacturers.</il>
<li>Each Perma-Nyl US flag is made of 100% nylon using the finest fabrics, designed specifically or outdoor use.</li>
<li>These flags exhibit tremendous strength retention under UV exposure as well as world-class tensile and tear strength.</li>
<li>Nylon provides 25% more toughness than polyester with greater abrasion and tear resistance.</li></ul>
<b>Our Perma-Nyl American flags also feature:</b>
<ul><li>Strong durable RUSTPROOF brass grommets.</li>
<li>Dense, lock-stitched embroidered stars.</li>
<li>Heavy-gauge canvas headers.</li>
<li>Double-stitched seams and 4 rows of stitching at fly end.</li></ul>
<b>This great American flag is available for immediate shipping to your door. Other websites and big box stores charge $123.99 for this flag. Buy it direct for less from AmericanFlags.com!</b>"
EFmarinecorps610,"This well-made Marine Corps flag measures 6' X 10' and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Marine Corps flags are Made in America and ready for immediate shipping to your door!"
Mexico610,"Our Mexico flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our Mexico flags are made of 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These 6' X 10' Mexico flags are also finished with strong canvas headings and large grommets. Proudly Made in America!"
EFNavy610,"This well-made Navy flag measures 6' X 10' and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Navy flags are Made in America and ready for immediate shipping to your door!"
EF610NYL,"<b>Questions about colors? <a href=""http://lib.store.yahoo.net/lib/yhst-45748600749679/colorchart.jpg ""target=""_blank"">Click here to see our color chart</b></a><p>
These 6' X 10' nylon solid color flags come in dozens of colors and are engineered to look great and outlast all other flags. Each features a heavy duty canvas header, reinforced stitching and solid brass grommets.

<i>Please note that flag colors may vary slightly based on your computer monitor settings and other factors beyond our control.</i>"
610Texas2Ply,"This 6' X 10' Texas State Flag with sewn stripes and star is our top-of-the line, exceptionally durable all-weather flag. Made from heavyweight spun polyester, it is ideal for commercial or institutional use, high wind areas or daily use. It comes with a one year ColorFast Guarantee and matches our Tough Tex US Flags."
AF002740,"Made with 100% long-lasting 2-ply spun polyester, our Tough-Tex flags are designed to be the longest lasting flag ever made. With the rich look of cotton, these flags are engineered especially for industrial, commercial or institutional use or wherever severe weather conditions exist. Complete with reinforced stitching, embroidered stars, and extra-strength polyester thread, each flag is specially treated to reduce sun and chemical deterioration.
<ul>
<li>The longest lasting flag available anywhere.</li>
<li>Greatest durability.</li>
<li>Excellent for high wind areas and extreme weather conditions.</li>
<li>Suitable for commercial and industrial uses.</li>
</ul>
<b>Tough-Tex<li> Flag Material Outperforms All Other Flags Bar None. This Is The Very Best Flag Made In America!</b>
<ul>
<li>100% 2-ply spun-woven polyester fabric resists high winds.</li>
<li>Open weave reduces fabric stress for longer wear.</li>
<li>One Year Colorfast Guarantee.</li>
<li>Backed by the oldest and largest flag manufacturer in the US.</li>
<li>Solid brass grommets, embroidered stars and double stitched seams.</li>
<li>Every flag double-inspected and meets official U.S government specifications.</li></ul><br>
<b>This great flag is available for immediate shipping to your door. Other websites sell this flag for $159.99. Buy it direct for less from AmericanFlags.com!</b>"
VFGSP3232,"The G-Spec line of flag products meets all official US Government specifications and these flags are proudly made in the United States. AmericanFlags.com is proud to offer these flags to government purchasers at a deep discount.<br>

<b>These US flags feature the following:</b>

+Exclusive BEST 2-ply mercerized cotton bunting.<br>
+Lock-stitched seams, material and color-matched thread.<br>
+Heavy canvas duck heading constructed to government specifications.<br>
+#2 rolled rim, solid brass, toothed grommets.<br>
+Official government size (1:1.9) host fly ratio.<br>

<b>When you shop at AmericanFlags.com....</b><br>
+You get great quantity discounts.<br>
+Fast shipping.<br>
+Superior US-based customer service.<br>
+Hassle-free returns.<br>
+A company you can trust.<br>"
VFGSP3235,"The G-Spec line of flag products meets all official US Government specifications and these flags are proudly made in the United States. AmericanFlags.com is proud to offer these flags to government purchasers at a deep discount.<br>

<b>These US flags feature the following:</b>

+Exclusive Perma-Nyl high-tenacity, industrial-strength 70 denier nylon.<br>
+Lock-stitched seams, material and color-matched thread.<br>
+Heavy canvas duck heading constructed to government specifications.<br>
+#2 rolled rim, solid brass, toothed grommets.<br>
+Official government size (1:1.9) host fly ratio.<br>

<b>When you shop at AmericanFlags.com....</b><br>
+You get great quantity discounts.<br>
+Fast shipping.<br>
+Superior US-based customer service.<br>
+Hassle-free returns.<br>
+A company you can trust.<br>"
EFCustomMiniAward,"Our Custom Mini Banners are made in America with 100% bridal quality rayon acetate satin. All feature sides that are carefully hem-stitched and come complete with a spear-tipped crossbar and hanging cord with tassels. The color of the hanging cord will match the fringe color you select. We are proud to offer these custom mini award and club satin banners in three popular sizes and several colors.

<i>Minimum quantity is 25 banners. Quantity discounts shown above are for identical designs and artwork charges may apply to orders requiring design or image manipulation.</i>"
551700,"This highly polished oak 2-piece indoor flagpole features a beautiful finish, sturdy metal screw joint and slightly tapered top. It's 7 feet high and comes in two popular diameters - 1"" and 1 1/4"". Perfect for any indoor flag display! Ornament (pole topper) sold seperately."
VFGSP5987,"This handsome indoor presentation flag set is made entirely in the United States and meets all government specifications. The set features the following components:

<ul><li>Nylon fringed 3'x5'8 3/8"" flag with sewn stripes and embroidered stars.</li><br>
<li>Golden cord and tassle.</li><br>
<li>Hardwood highly-varnished wooden 7' flagpole with a two-piece 6"" brass joint.</li><br>
<li>12"" diameter weighted cast iron flagstand.</li><br>
<li>Brass ornamental brass eagle topper.</li><br>
<li>Simple, fast assembly.</li></ul>
This is a phenomenal flag set at a great price!"
VFGSP3231,"The G-Spec line of flag products meets all official US Government specifications and these flags are proudly made in the United States. AmericanFlags.com is proud to offer these flags to government purchasers at a deep discount.<br>

<b>These US flags feature the following:</b>

+Exclusive Perma-Nyl high-tenacity, industrial-strength 70 denier nylon.<br>
+Lock-stitched seams, material and color-matched thread.<br>
+Heavy canvas duck heading constructed to government specifications.<br>
+Extra-durable woven rope heading.<br>
+Official government size (1:1.9) host fly ratio.<br>

<b>When you shop at AmericanFlags.com....</b><br>
+You get great quantity discounts.<br>
+Fast shipping.<br>
+Superior US-based customer service.<br>
+Hassle-free returns.<br>
+A company you can trust.<br>"
EF070256,"Demonstrate your military pride with this great flag! This handsome flag is made of good quality polyester and measures 3' X 5'. It is finished with a sturdy canvas header for added durability and features two brass grommets for easy display.  AmericanFlags.com is proud to support our U.S. military, both active duty and retired."
551800,"This highly polished oak 2-piece indoor flagpole features a beautiful finish, sturdy metal screw joint and slightly tapered top. It's 8 feet high and comes in two popular diameters - 1"" and 1 1/4"". Perfect for any indoor flag display! Ornament (pole topper) sold seperately."
